date,rain,maxtp,mintp
01/01/2023,0.9,6.8,1.8
02/01/2023,0,6.9,0.2
03/01/2023,2,13.4,5.9
04/01/2023,0.4,12.6,9.1
05/01/2023,3.3,12.9,6.9
06/01/2023,2.2,11.7,5.7
07/01/2023,2.8,10.6,5.3
08/01/2023,0,7.7,4.9
09/01/2023,0.9,8,3.8
10/01/2023,8.5,13.8,5.7
11/01/2023,5.7,11.7,5.6
12/01/2023,3.3,11.9,5.7
13/01/2023,2.1,9.8,6.2
14/01/2023,5.1,9.3,2.2
15/01/2023,2.6,5.4,1.5
16/01/2023,0,2.6,-3
17/01/2023,0,2,-3.9
18/01/2023,0,4,0
19/01/2023,0,4,-1.3
20/01/2023,0,8,-3.4
21/01/2023,0,9.6,4.9
22/01/2023,0.2,11.5,8.7
23/01/2023,0.4,12.2,4.7
24/01/2023,0.1,11.5,4.7
25/01/2023,0.9,10.1,2.2
26/01/2023,0,8.2,2.6
27/01/2023,0,7.5,0.5
28/01/2023,0.6,7.3,2.7
29/01/2023,0.2,10.2,4.2
30/01/2023,0,8.9,3.8
31/01/2023,0.2,8.9,5.9
01/02/2023,0,10.3,5.7
02/02/2023,0.3,10.5,8.6
03/02/2023,0,12.3,7.2
04/02/2023,1,11.5,1.2
05/02/2023,0,9.4,-2.4
06/02/2023,0,10.4,-1
07/02/2023,0,10.5,2.5
08/02/2023,0.4,9.9,2.4
09/02/2023,0,8.4,1.1
10/02/2023,0,12,4.2
11/02/2023,0.1,11.2,7.8
12/02/2023,0,11.5,4.2
13/02/2023,0,12.4,0.5
14/02/2023,0,15.9,4.8
15/02/2023,5.4,10.6,5.5
16/02/2023,0.4,13.4,7.9
17/02/2023,0.6,13.3,10.8
18/02/2023,0.8,11.9,8.9
19/02/2023,0,12.3,7.2
20/02/2023,0,12.7,6.7
21/02/2023,1.1,12.7,7.6
22/02/2023,1.2,8.2,3.4
23/02/2023,0,9.5,-0.1
24/02/2023,0,11.1,2.5
25/02/2023,0,7.2,1.1
26/02/2023,0,8.9,5.2
27/02/2023,0,7.9,5.9
28/02/2023,0.9,7.4,4.1
01/03/2023,0,8.8,5.4
02/03/2023,1.6,8,4.8
03/03/2023,0.2,7.4,4.7
04/03/2023,0,5.7,3.5
05/03/2023,0,10.3,2.7
06/03/2023,6.5,7.7,2.4
07/03/2023,0,6.9,-1.5
08/03/2023,0.7,5.5,0.9
09/03/2023,30.3,3.7,1.2
10/03/2023,7.4,7.5,-1.5
11/03/2023,9.4,10,-0.8
12/03/2023,2.1,13.4,7.8
13/03/2023,9.2,15.2,2.6
14/03/2023,1.3,7.3,-0.7
15/03/2023,6.4,10.9,-1
16/03/2023,1,15.2,8.5
17/03/2023,0.6,13.8,7.3
18/03/2023,1.3,11.6,4.3
19/03/2023,2.2,11.2,1.9
20/03/2023,1.2,16,10.2
21/03/2023,2.9,13.8,9.5
22/03/2023,1.1,13.5,6.3
23/03/2023,3.2,14.1,6.4
24/03/2023,0.8,13.5,6.8
25/03/2023,0.9,12.8,5.7
26/03/2023,0.3,10.1,0.6
27/03/2023,0,10.6,-1.6
28/03/2023,2.1,15.7,7.7
29/03/2023,3.3,17.1,10.2
30/03/2023,5.9,16.7,7.9
31/03/2023,19.4,12,8.9
01/04/2023,10.3,12.1,7.8
02/04/2023,0.2,12.1,6.2
03/04/2023,0,12.5,4.4
04/04/2023,2.1,14.4,5.4
05/04/2023,0.4,15.2,8.6
06/04/2023,0.8,14,3.2
07/04/2023,0,14,1.4
08/04/2023,0,15,3.7
09/04/2023,0.8,13.2,8.8
10/04/2023,3.8,11.4,5
11/04/2023,6.4,10.8,3.1
12/04/2023,5.3,7.5,2.4
13/04/2023,0,13.3,3.2
14/04/2023,0,13.9,1.1
15/04/2023,4.5,13.7,2.3
16/04/2023,1.5,18.9,7.9
17/04/2023,0,17.9,8
18/04/2023,0,12.5,9.6
19/04/2023,0,12.2,7.7
20/04/2023,0,12.8,7.1
21/04/2023,0,15.2,8.2
22/04/2023,7.8,9.7,6.2
23/04/2023,1.2,12.6,5
24/04/2023,10.8,9.1,1.9
25/04/2023,0.2,11.6,0.5
26/04/2023,0,13.4,5.7
27/04/2023,0,12.9,9
28/04/2023,0.4,17.3,7.9
29/04/2023,7.3,18.3,6.9
30/04/2023,12.6,18.1,11
01/05/2023,0.2,17.9,7.5
02/05/2023,0,18.5,7.5
03/05/2023,0,16.6,10
04/05/2023,6.3,14.4,9.5
05/05/2023,0,19.7,10.2
06/05/2023,0,17.3,8.6
07/05/2023,2.8,19.3,8.3
08/05/2023,7.7,20.2,10.3
09/05/2023,1.8,17.5,8.5
10/05/2023,2.2,16.5,10
11/05/2023,6.4,14.9,6.9
12/05/2023,0,16.4,5.6
13/05/2023,0,16.8,5.8
14/05/2023,0.4,16.7,5.4
15/05/2023,0,15.8,3.7
16/05/2023,0,18.8,3.9
17/05/2023,0,20.1,6.1
18/05/2023,0,18.5,9.4
19/05/2023,0.1,17.1,8.6
20/05/2023,0,16,11.2
21/05/2023,0,17.8,9.7
22/05/2023,0,17.2,8.8
23/05/2023,0,19.3,7.5
24/05/2023,0,18.1,7.4
25/05/2023,0,20.3,9.2
26/05/2023,0,18.8,9.3
27/05/2023,0,20.5,8.1
28/05/2023,0,16,10.9
29/05/2023,0,17.1,6.7
30/05/2023,0,18.2,7.8
31/05/2023,0,16.3,7.5
01/06/2023,0,16.5,7.6
02/06/2023,0,15.7,7.2
03/06/2023,0,19.3,6.4
04/06/2023,0,19.5,7.1
05/06/2023,0,19.5,8.9
06/06/2023,0,16.9,8
07/06/2023,0,14.9,6.7
08/06/2023,0,15.8,7.6
09/06/2023,0,18.7,10.2
10/06/2023,0.9,19.5,11.1
11/06/2023,0,23.2,14.9
12/06/2023,0.9,21.8,14.3
13/06/2023,4.3,25.2,14.4
14/06/2023,0,21.8,11.5
15/06/2023,0,23.4,9.3
16/06/2023,11.7,22,11.4
17/06/2023,5.8,20.3,14.2
18/06/2023,0.8,22.2,14.7
19/06/2023,0,22.6,13.5
20/06/2023,17.7,19.7,12.6
21/06/2023,0,23.8,12.3
22/06/2023,0,21,9.7
23/06/2023,0.3,22.2,16.8
24/06/2023,0,25.2,17.8
25/06/2023,3.9,21.5,11.8
26/06/2023,0.1,20.9,11.2
27/06/2023,0.3,23.2,14.6
28/06/2023,2.4,21,13.1
29/06/2023,0,19.7,9.5
30/06/2023,1.8,17.9,13.1
01/07/2023,0,20.2,10.9
02/07/2023,0.1,18.9,10
03/07/2023,11.6,18.8,8.9
04/07/2023,2.2,20,8.8
05/07/2023,0.7,19,8.8
06/07/2023,1.4,18.2,12.1
07/07/2023,0,22.2,15.6
08/07/2023,0,22.3,13.5
09/07/2023,0.3,22.5,11.5
10/07/2023,17,17.6,13.4
11/07/2023,0.7,20.9,13
12/07/2023,1.6,21,11.1
13/07/2023,1.7,20.4,10.9
14/07/2023,15.6,18.2,12.3
15/07/2023,11.2,15.8,13.1
16/07/2023,6.9,19.5,11.3
17/07/2023,0,20,11.1
18/07/2023,12.2,18.5,12.4
19/07/2023,0.6,18.5,12.4
20/07/2023,0.5,19.5,11.4
21/07/2023,4.9,18.9,10.6
22/07/2023,36,20,13.4
23/07/2023,4.9,16,12.2
24/07/2023,0,18.8,9.8
25/07/2023,0,20,7.3
