date,capture.success
15/02/2023,0
19/02/2023,1
20/02/2023,1
21/02/2023,0
22/02/2023,0
23/02/2023,1
24/02/2023,1
25/02/2023,1
26/02/2023,0
27/02/2023,1
28/02/2023,1
14/03/2023,0
15/03/2023,0
16/03/2023,0
09/02/2024,0
10/02/2024,0
11/02/2024,1
12/02/2024,0
13/02/2024,0
14/02/2024,1
19/02/2024,1
20/02/2024,0
21/02/2024,1
22/02/2024,0
23/02/2024,0
24/02/2024,0
27/02/2024,0
28/02/2024,0
29/02/2024,0
03/03/2024,0
04/03/2024,0
05/03/2024,0
06/03/2024,0
07/03/2024,0
08/03/2024,1
09/03/2024,0
10/03/2024,1
11/03/2024,0
12/03/2024,0
13/03/2024,0
14/03/2024,1
15/03/2024,1
19/03/2024,0
20/03/2024,0
21/03/2024,0
