date,num.sites,num.traps,capture.success,num.captures,rain.mm,maxtp,mintp
15/02/2023,1,2,0,0,5.4,10.6,5.5
19/02/2023,3,5,1,1,0,12.3,7.2
20/02/2023,3,5,1,1,0,12.7,6.7
21/02/2023,3,5,0,0,1.1,12.7,7.6
22/02/2023,3,5,0,0,1.2,8.2,3.4
23/02/2023,3,5,1,1,0,9.5,-0.1
24/02/2023,3,5,1,2,0,11.1,2.5
25/02/2023,NA,NA,1,1,0,7.2,1.1
26/02/2023,NA,NA,0,0,0,8.9,5.2
27/02/2023,3,NA,1,1,0,7.9,5.9
28/02/2023,1,1,1,1,0.9,7.4,4.1
14/03/2023,3,6,0,0,1.3,7.3,-0.7
15/03/2023,3,6,0,0,6.4,10.9,-1
16/03/2023,3,6,0,0,1,15.2,8.5
09/02/2024,3,3,0,0,4.5,7,4.2
10/02/2024,4,4,0,0,0.1,10.3,1.4
11/02/2024,4,4,1,1,0.1,9.2,2.4
12/02/2024,4,4,0,0,0.7,8.9,2.1
13/02/2024,4,4,0,0,3.2,9.7,3.1
14/02/2024,4,4,1,1,2.5,14,7.3
19/02/2024,4,4,1,1,0.7,12.1,8.1
20/02/2024,4,4,0,0,0.5,13.4,4.3
21/02/2024,4,4,1,1,2.3,13.9,7.8
22/02/2024,4,4,0,0,3,9.3,3.1
23/02/2024,4,4,0,0,0.6,8.1,2.6
24/02/2024,4,4,0,0,0.2,8.7,0.9
27/02/2024,4,4,0,0,0.6,11.5,0.3
28/02/2024,4,4,0,0,3.5,13,3.7
29/02/2024,4,4,0,0,1.1,9,1.2
03/03/2024,4,4,0,0,0.9,9.1,1.5
04/03/2024,4,4,0,0,6.7,8,1
05/03/2024,4,4,0,0,2.2,12.1,2.4
06/03/2024,4,4,0,0,0,10.8,0.9
07/03/2024,4,4,0,0,0,9.7,6.9
08/03/2024,4,4,1,1,0,7.8,5.2
09/03/2024,4,4,0,0,0.4,8.1,5.7
10/03/2024,4,4,1,1,3.5,8.6,6.9
11/03/2024,4,4,0,0,7.7,9.6,6.7
12/03/2024,4,4,0,0,0.2,15.1,6.7
13/03/2024,4,4,0,0,11.2,12.5,7.8
14/03/2024,4,4,1,1,8.3,15.2,7.4
15/03/2024,3,3,1,1,0.3,13,2.2
19/03/2024,3,3,0,0,0.5,13.3,8.3
20/03/2024,3,3,0,0,5.5,11.7,2.9
21/03/2024,3,3,0,0,1.6,13.6,3
